,Cholesterol,Sodium,Fat,Carbohydrates,Protein,Calories
Egg McMuffin,260,750,13,31,17,300
Egg White Delight,25,770,8,30,18,250
Sausage McMuffin,45,780,23,29,14,370
Sausage McMuffin with Egg,285,860,28,30,21,450
Sausage McMuffin with Egg Whites,50,880,23,30,21,400
Steak & Egg McMuffin,300,960,23,31,26,430
"Bacon, Egg & Cheese Biscuit (Regular Biscuit)",250,1300,26,38,19,460
"Bacon, Egg & Cheese Biscuit (Large Biscuit)",250,1410,30,43,19,520
"Bacon, Egg & Cheese Biscuit with Egg Whites (Regular Biscuit)",35,1300,20,36,20,410
"Bacon, Egg & Cheese Biscuit with Egg Whites (Large Biscuit)",35,1420,25,42,20,470
Sausage Biscuit (Regular Biscuit),30,1080,27,34,11,430
Sausage Biscuit (Large Biscuit),30,1190,31,39,11,480
Sausage Biscuit with Egg (Regular Biscuit),250,1170,33,36,18,510
Sausage Biscuit with Egg (Large Biscuit),250,1280,37,42,18,570
Sausage Biscuit with Egg Whites (Regular Biscuit),35,1180,27,34,18,460
Sausage Biscuit with Egg Whites (Large Biscuit),35,1290,32,40,18,520
Southern Style Chicken Biscuit (Regular Biscuit),30,1180,20,41,17,410
Southern Style Chicken Biscuit (Large Biscuit),30,1290,24,46,17,470
Steak & Egg Biscuit (Regular Biscuit),280,1470,32,38,25,540
"Bacon, Egg & Cheese McGriddles",250,1250,21,48,19,460
"Bacon, Egg & Cheese McGriddles with Egg Whites",35,1250,15,47,20,400
Sausage McGriddles,35,1030,22,44,11,420
"Sausage, Egg & Cheese McGriddles",265,1320,31,48,20,550
"Sausage, Egg & Cheese McGriddles with Egg Whites",50,1320,26,46,21,500
"Bacon, Egg & Cheese Bagel",275,1480,31,57,30,620
"Bacon, Egg & Cheese Bagel with Egg Whites",60,1480,25,55,30,570
"Steak, Egg & Cheese Bagel",295,1510,35,56,33,670
Big Breakfast (Regular Biscuit),555,1560,48,51,28,740
Big Breakfast (Large Biscuit),555,1680,52,56,28,800
Big Breakfast with Egg Whites (Regular Biscuit),35,1590,37,50,26,640
Big Breakfast with Egg Whites (Large Biscuit),35,1700,41,55,26,690
Big Breakfast with Hotcakes (Regular Biscuit),575,2150,56,111,36,1090
Big Breakfast with Hotcakes (Large Biscuit),575,2260,60,116,36,1150
Big Breakfast with Hotcakes and Egg Whites (Regular Biscuit),55,2170,46,110,35,990
Big Breakfast with Hotcakes and Egg Whites (Large Biscuit),55,2290,50,115,35,1050
Hotcakes,20,590,9,60,8,350
Hotcakes and Sausage,50,930,24,61,15,520
Sausage Burrito,115,790,16,26,12,300
Hash Brown,0,310,9,15,1,150
Cinnamon Melts,15,370,19,66,6,460
Fruit & Maple Oatmeal,5,160,4,58,5,290
Fruit & Maple Oatmeal without Brown Sugar,5,115,4,49,5,260
Big Mac,85,960,27,47,24,530
Quarter Pounder with Cheese,95,1100,26,41,30,520
Quarter Pounder with Bacon & Cheese,105,1440,29,48,37,600
Quarter Pounder with Bacon Habanero Ranch,105,1180,31,46,37,610
Quarter Pounder Deluxe,85,960,27,45,29,540
Double Quarter Pounder with Cheese,160,1280,43,42,48,750
Hamburger,30,480,8,32,12,240
Cheeseburger,45,680,11,33,15,290
Double Cheeseburger,90,1040,21,35,24,430
Bacon Clubhouse Burger,115,1470,40,51,39,720
McDouble,75,840,17,34,22,380
Bacon McDouble,90,1110,22,35,27,440
Daily Double,80,760,22,34,22,430
Jalapeño Double,80,1030,23,35,22,430
McRib,70,980,26,44,22,500
Premium Crispy Chicken Classic Sandwich,45,990,22,55,24,510
Premium Grilled Chicken Classic Sandwich,65,820,9,42,28,350
Premium Crispy Chicken Club Sandwich,85,1410,33,58,36,670
Premium Grilled Chicken Club Sandwich,105,1250,20,44,40,510
Premium Crispy Chicken Ranch BLT Sandwich,70,1400,28,57,32,610
Premium Grilled Chicken Ranch BLT Sandwich,90,1230,15,43,36,450
Bacon Clubhouse Crispy Chicken Sandwich,90,1720,38,65,36,750
Bacon Clubhouse Grilled Chicken Sandwich,110,1560,25,51,40,590
Southern Style Crispy Chicken Sandwich,45,910,19,43,21,430
McChicken,35,800,16,40,14,360
Bacon Cheddar McChicken,65,1260,24,43,22,480
Bacon Buffalo Ranch McChicken,50,1260,21,41,20,430
Buffalo Ranch McChicken,35,990,16,40,14,360
Premium McWrap Chicken & Bacon (Crispy Chicken),80,1540,32,56,32,630
Premium McWrap Chicken & Bacon (Grilled Chicken),95,1370,19,42,36,480
Premium McWrap Chicken & Ranch (Crispy Chicken),65,1340,31,56,27,610
Premium McWrap Chicken & Ranch (Grilled Chicken),80,1170,18,42,30,450
Premium McWrap Southwest Chicken (Crispy Chicken),60,1480,33,68,27,670
Premium McWrap Southwest Chicken (Grilled Chicken),80,1320,20,55,31,520
Premium McWrap Chicken Sweet Chili (Crispy Chicken),50,1260,23,61,23,540
Premium McWrap Chicken Sweet Chili (Grilled Chicken),65,1090,10,47,27,380
Chicken McNuggets (4 piece),25,360,12,12,9,190
Chicken McNuggets (6 piece),40,540,18,18,13,280
Chicken McNuggets (10 piece),65,900,30,30,22,470
Chicken McNuggets (20 piece),135,1800,59,59,44,940
Chicken McNuggets (40 piece),265,3600,118,118,87,1880
Filet-O-Fish,40,590,19,39,15,390
Premium Bacon Ranch Salad (without Chicken),25,300,7,10,9,140
Premium Bacon Ranch Salad with Crispy Chicken,70,860,21,22,25,380
Premium Bacon Ranch Salad with Grilled Chicken,85,690,8,8,29,220
Premium Southwest Salad (without Chicken),10,150,4.5,20,6,140
Premium Southwest Salad with Crispy Chicken,50,850,22,42,23,450
Premium Southwest Salad with Grilled Chicken,70,680,8,28,27,290
Chipotle BBQ Snack Wrap (Crispy Chicken),30,780,15,37,14,340
Chipotle BBQ Snack Wrap (Grilled Chicken),40,700,8,30,16,260
Honey Mustard Snack Wrap (Crispy Chicken),35,730,15,34,14,330
Honey Mustard Snack Wrap (Grilled Chicken),45,650,8,27,16,250
Ranch Snack Wrap (Crispy Chicken),40,810,20,32,15,360
Ranch Snack Wrap (Grilled Chicken),45,720,13,25,16,280
Small French Fries,0,130,11,30,2,230
Medium French Fries,0,190,16,44,4,340
Large French Fries,0,290,24,67,6,510
Kids French Fries,0,65,5,15,1,110
Side Salad,0,10,0,4,1,20
Apple Slices,0,0,0,4,0,15
Fruit 'n Yogurt Parfait,5,70,2,30,4,150
Baked Apple Pie,0,170,13,32,2,250
Chocolate Chip Cookie,10,90,8,21,2,160
Oatmeal Raisin Cookie,10,135,6,22,2,150
Kids Ice Cream Cone,5,20,1.5,7,1,45
Hot Fudge Sundae,25,170,9,53,8,330
Hot Caramel Sundae,30,150,8,60,7,340
Strawberry Sundae,25,85,6,49,6,280
Coca-Cola Classic (Small),0,0,0,39,0,140
Coca-Cola Classic (Medium),0,5,0,55,0,200
Coca-Cola Classic (Large),0,5,0,76,0,280
Coca-Cola Classic (Child),0,0,0,28,0,100
Diet Coke (Small),0,10,0,0,0,0
Diet Coke (Medium),0,20,0,0,0,0
Diet Coke (Large),0,35,0,0,0,0
Diet Coke (Child),0,15,0,0,0,0
Dr Pepper (Small),0,45,0,37,0,140
Dr Pepper (Medium),0,65,0,53,0,190
Dr Pepper (Large),0,90,0,72,0,270
Dr Pepper (Child),0,30,0,27,0,100
Diet Dr Pepper (Small),0,70,0,0,2,0
Diet Dr Pepper (Medium),0,100,0,0,3,0
Diet Dr Pepper (Large),0,140,0,0,4,0
Diet Dr Pepper (Child),0,50,0,0,1,0
Sprite (Small),0,30,0,37,0,140
Sprite (Medium),0,45,0,54,0,200
Sprite (Large),0,60,0,74,0,280
Sprite (Child),0,25,0,27,0,100
1% Low Fat Milk Jug,10,125,2.5,12,8,100
Fat Free Chocolate Milk Jug,5,135,0,23,9,130
Minute Maid 100% Apple Juice Box,0,15,0,21,0,80
Minute Maid Orange Juice (Small),0,0,0,34,2,150
Minute Maid Orange Juice (Medium),0,0,0,44,3,190
Minute Maid Orange Juice (Large),0,5,0,65,4,280
Dasani Water Bottle,0,0,0,0,0,0
Iced Tea (Small),0,10,0,0,0,0
Iced Tea (Medium),0,10,0,0,0,0
Iced Tea (Large),0,15,0,0,0,0
Iced Tea (Child),0,5,0,0,0,0
Sweet Tea (Small),0,10,0,36,1,150
Sweet Tea (Medium),0,10,0,45,1,180
Sweet Tea (Large),0,10,0,54,1,220
Sweet Tea (Child),0,5,0,27,0,110
Coffee (Small),0,0,0,0,0,0
Coffee (Medium),0,0,0,0,0,0
Coffee (Large),0,0,0,0,0,0
Latte (Small),25,115,9,15,9,170
Latte (Medium),30,140,10,18,11,210
Latte (Large),40,180,14,24,15,280
Caramel Latte (Small),25,115,9,40,9,270
Caramel Latte (Medium),30,140,10,50,11,340
Caramel Latte (Large),40,180,14,62,15,430
Hazelnut Latte (Small),25,115,9,40,9,270
Hazelnut Latte (Medium),30,140,10,50,11,330
Hazelnut Latte (Large),40,180,14,62,15,430
French Vanilla Latte (Small),25,115,9,38,9,260
French Vanilla Latte (Medium),30,140,10,48,11,330
French Vanilla Latte (Large),40,190,14,60,15,420
Latte with Sugar Free French Vanilla Syrup (Small),25,150,9,24,9,210
Latte with Sugar Free French Vanilla Syrup (Medium),30,190,10,29,12,260
Latte with Sugar Free French Vanilla Syrup (Large),40,240,14,37,15,330
Nonfat Latte (Small),5,110,0,15,10,100
Nonfat Latte (Medium),5,135,0,19,12,130
Nonfat Latte (Large),10,180,0.5,25,16,170
Nonfat Caramel Latte (Small),5,110,0,41,10,200
Nonfat Caramel Latte (Medium),5,135,0,51,12,250
Nonfat Caramel Latte (Large),10,180,0.5,63,16,310
Nonfat Hazelnut Latte (Small),5,110,0,40,10,200
Nonfat Hazelnut Latte (Medium),5,135,0,51,12,250
Nonfat Hazelnut Latte (Large),10,180,0.5,63,16,310
Nonfat French Vanilla Latte (Small),5,115,0,39,10,190
Nonfat French Vanilla Latte (Medium),5,140,0,49,12,240
Nonfat French Vanilla Latte (Large),10,180,0.5,60,16,300
Nonfat Latte with Sugar Free French Vanilla Syrup (Small),5,150,0,24,10,140
Nonfat Latte with Sugar Free French Vanilla Syrup (Medium),5,180,0,30,12,170
Nonfat Latte with Sugar Free French Vanilla Syrup (Large),10,240,0.5,38,16,220
Mocha (Small),35,150,11,49,10,340
Mocha (Medium),40,190,14,60,13,410
Mocha (Large),50,240,17,72,16,500
Mocha with Nonfat Milk (Small),15,150,3.5,49,11,270
Mocha with Nonfat Milk (Medium),15,190,3.5,60,13,330
Mocha with Nonfat Milk (Large),20,240,4,73,17,390
Caramel Mocha (Small),35,170,11,45,10,320
Caramel Mocha (Medium),40,220,14,55,12,390
Caramel Mocha (Large),50,270,17,66,16,480
Nonfat Caramel Mocha (Small),15,170,3.5,45,10,250
Nonfat Caramel Mocha (Medium),15,210,3.5,56,13,310
Nonfat Caramel Mocha (Large),20,270,3.5,67,17,370
Hot Chocolate (Small),40,180,13,50,11,360
Hot Chocolate (Medium),50,220,16,61,14,440
Hot Chocolate (Large),60,280,20,73,17,540
Hot Chocolate with Nonfat Milk (Small),15,180,3.5,50,12,280
Hot Chocolate with Nonfat Milk (Medium),15,220,3.5,61,14,340
Hot Chocolate with Nonfat Milk (Large),20,280,3.5,74,19,400
Regular Iced Coffee (Small),15,35,4.5,23,1,140
Regular Iced Coffee (Medium),25,50,7,31,1,190
Regular Iced Coffee (Large),35,75,9,47,2,270
Caramel Iced Coffee (Small),15,35,4.5,22,1,130
Caramel Iced Coffee (Medium),25,50,7,29,1,180
Caramel Iced Coffee (Large),35,65,9,43,2,260
Hazelnut Iced Coffee (Small),15,35,4.5,21,1,130
Hazelnut Iced Coffee (Medium),25,50,7,29,1,180
Hazelnut Iced Coffee (Large),35,75,9,43,2,250
French Vanilla Iced Coffee (Small),15,40,4.5,20,1,120
French Vanilla Iced Coffee (Medium),25,55,7,27,1,170
French Vanilla Iced Coffee (Large),35,80,9,41,2,240
Iced Coffee with Sugar Free French Vanilla Syrup (Small),15,65,4.5,9,1,80
Iced Coffee with Sugar Free French Vanilla Syrup (Medium),25,90,7,12,1,120
Iced Coffee with Sugar Free French Vanilla Syrup (Large),35,135,9,18,2,160
Iced Mocha (Small),35,125,11,41,8,290
Iced Mocha (Medium),40,150,13,50,9,350
Iced Mocha (Large),50,220,16,70,14,480
Iced Mocha with Nonfat Milk (Small),20,125,5,41,8,240
Iced Mocha with Nonfat Milk (Medium),20,150,5,50,10,290
Iced Mocha with Nonfat Milk (Large),25,220,6,71,14,390
Iced Caramel Mocha (Small),35,140,11,38,8,280
Iced Caramel Mocha (Medium),40,170,13,46,9,340
Iced Caramel Mocha (Large),50,250,16,65,13,460
Iced Nonfat Caramel Mocha (Small),20,140,5,38,8,230
Iced Nonfat Caramel Mocha (Medium),20,170,5,47,10,270
Iced Nonfat Caramel Mocha (Large),25,250,6,65,14,370
Frappé Mocha (Small),65,125,18,65,7,450
Frappé Mocha (Medium),75,160,22,80,9,550
Frappé Mocha (Large),90,190,26,98,11,670
Frappé Caramel (Small),65,125,19,64,7,450
Frappé Caramel (Medium),80,160,23,79,9,550
Frappé Caramel (Large),95,190,27,96,11,670
Frappé Chocolate Chip (Small),65,135,23,76,8,530
Frappé Chocolate Chip (Medium),80,160,26,91,9,630
Frappé Chocolate Chip (Large),95,200,31,111,12,760
Blueberry Pomegranate Smoothie (Small),5,40,0.5,50,2,220
Blueberry Pomegranate Smoothie (Medium),5,50,1,62,3,260
Blueberry Pomegranate Smoothie (Large),5,65,1,79,4,340
Strawberry Banana Smoothie (Small),5,50,0.5,47,3,210
Strawberry Banana Smoothie (Medium),5,60,1,58,4,250
Strawberry Banana Smoothie (Large),5,80,1,74,5,330
Mango Pineapple Smoothie (Small),5,40,0.5,50,2,210
Mango Pineapple Smoothie (Medium),5,45,1,61,3,260
Mango Pineapple Smoothie (Large),5,60,1,78,4,340
Vanilla Shake (Small),60,160,15,86,11,530
Vanilla Shake (Medium),75,200,19,109,14,660
Vanilla Shake (Large),90,260,23,135,18,820
Strawberry Shake (Small),60,160,16,90,12,550
Strawberry Shake (Medium),75,210,20,114,15,690
Strawberry Shake (Large),90,260,24,140,18,850
Chocolate Shake (Small),60,240,16,91,12,560
Chocolate Shake (Medium),75,300,20,114,15,700
Chocolate Shake (Large),85,380,23,141,19,850
Shamrock Shake (Medium),75,210,19,109,14,660
Shamrock Shake (Large),90,260,23,135,18,820
McFlurry with M&M’s Candies (Small),50,180,23,96,13,650
McFlurry with M&M’s Candies (Medium),75,260,33,139,20,930
McFlurry with M&M’s Candies (Snack),35,120,15,64,9,430
McFlurry with Oreo Cookies (Small),45,280,17,80,12,510
McFlurry with Oreo Cookies (Medium),55,380,23,106,15,690
McFlurry with Oreo Cookies (Snack),30,190,11,53,8,340
McFlurry with Reese's Peanut Butter Cups (Medium),60,400,32,114,21,810
McFlurry with Reese's Peanut Butter Cups (Snack),30,200,16,57,10,410
